"Respondent ID","Collector ID","Start Date","End Date","IP Address","Email Address","First Name","Last Name","Custom Data 1","Klauzula zgody na przetwarzanie danych osobowych Zaznaczając 'zgadzam się' wyrażam zgodę na przetwarzanie moich danych osobowych, zgodnie z Ustawą z dnia 10 maja 2018 r. o ochronie danych osobowych oraz Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych i w sprawie swobodnego przepływu takich danych oraz uchylenia dyrektywy 95/46/WE (ogólne rozporządzenie o ochronie danych) w celu przeprowadzenia badań naukowych realizowanych w ramach projektu badawczego ,,Modelowanie rozumowań abdukcyjnych” oraz kontaktu ze mną w związku z moim udziałem w tych badaniach.","Każdy AS jest BASEM.Każdy BAS jest CESEM.Każdy AS jest CESEM.","Wyjaśnij swoją decyzję Eustachemu:","Jeśli zdanie ""Niektóre PURY są AWAKAMI"" jest prawdziwe, znaczy to że (wybierz jedną odpowiedź):","Zatem w prawdziwym świecie które z tych zdań są prawdziwe (możesz wybrać więcej niż jedno):","","","Jeśli zdanie ""Niektóre GABRY nie są AWAKAMI"" jest prawdziwe, znaczy to że (wybierz jedną odpowiedź):","Zatem w prawdziwym świecie które z tych zdań są prawdziwe (możesz wybrać więcej niż jedno):","","","Każde ŁUTKO jest GLARĄ.Każdy TOPEK jest ŁUTKIEM.  Niektóre TOPKI są GLARAMI.","Wyjaśnij swoją decyzję Eustachemu:","Każda WEDA jest KRALEM.Żaden KRAL nie jest CEKRĄ.        Niektóre CEKRY nie są WEDAMI.","Wyjaśnij swoją decyzję Eustachemu:","Każda FAFKA jest REWOREM.Każdy REWOR jest MUGĄ.    Niektóre FAFKI są MUGAMI.","Wyjaśnij swoją decyzję Eustachemu:","Żadna TALA nie jest MATUKIEM.Każde RUTKO jest TALĄ.                    Niektóre RUTKA nie są MATUKAMI.","Wyjaśnij swoją decyzję Eustachemu:","Każdy KUSEK jest CIAMĄ.Niektóre FODKI są KUSKAMI.Niektóre FODKI są CIAMAMI.","Wyjaśnij swoją decyzję Eustachemu:","Żadna RYFA nie jest FERĄ.Każdy BYNAK jest FERĄ.               Niektóre BYNAKI nie są RYFAMI.","Wyjaśnij swoją decyzję Eustachemu:","Płeć","","","Wiek","Kierunek studiów","Poziom studiów, trwających lub ukończonych (np. licencjackie, magisterskie itp.)","Rok studiów (jeśli trwają)","Czy uczyłaś/eś się kiedyś logiki formalnej?","","Pytania i uwagi:"
"114020940101","420006389","2022-04-30 15:39:24","2022-04-30 16:15:15","83.0.104.185","","","","","Zgadzam się","prawda","Jeżeli a implikuje b i b implikuje c to a implikuje c.  W sumie to niewiadomo czy prawa logiczne zachodzą w tym świecie, ale zakładam że tak","Co najmniej niektóre PURY są AWAKAMI, a być może wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Co najmniej niektóre GABRY nie są AWAKAMI, a być może żadna GABRA nie jest AWAKIEM.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","Z pierwszych dwóch zdań wiemy że każdy TOPEK jest GLARĄ. A zdanie 3 sugeruje że istnieją TOPKI które nie są GLARAMI co daje nam spraeczność","fałsz","Jeżeli WEDA = KRAL to 2 i 3 zdanie są sprzeczne","prawda","Z 1 i 2 Fafka = Rewor = Muga  Więc zdanie 3 też jest prawdziwe","","","","","","","","","","","","","","","",""
"114020903899","420006389","2022-04-30 13:46:58","2022-04-30 14:15:17","188.121.15.5","","","","","Zgadzam się","prawda","Jak każdy as jest basem a każdy bas jest cesem to każdy as jest cesem","Co najmniej niektóre PURY są AWAKAMI, a być może wszystkie PURY są AWAKAMI.","Niektóre wróble są ptakami.","Niektóre ssaki są drapieżnikami.","","Co najmniej niektóre GABRY nie są AWAKAMI, a być może żadna GABRA nie jest AWAKIEM.","Niektóre ptaki nie są jaszczurkami.","Niektóre zwierzęta lądowe nie są drapieżnikami.","","prawda","Tak jak w poprzednim zadaniu skoro każdy topek jest łutkiem a każde łutko jest glarą to każdy topek jest glarą, czyli w szczególności niektóre (w praktyce wszystkie) topki są glarami ","nie można tego jednoznacznie stwierdzić","Ze zdań nad kreską można wywnioskować tylko, że żadna weda nie jest cekrą. Nie wiemy natomiast nic o relacji cekr z wedami, może być tak, że wszystkie cekry są wedami i nie przeczy to z wywnioskowanymi informacjami, a wtedy zdanie pod kreską jest fałszywe, a jak żadna cekra nie jest wedem to wtedy zdanie staje sie prawdziwe ","prawda","Każda fafka jest mugą zatem w szczególności niektóre fafki są mugami (analogia z ""niektóre wróble są ptakami"")","prawda","Skoro każde rutko jest talą, a żadna tala nie jest matukiem to żadne rutko nie jest matukiem, zatem w szczególności niektóre rutka nie są matukami","prawda","Wystarczy wskazać takiego fodka który jest kuskiem, wtedy wiemy, że jest on równocześnie ciamą (bo każdy kusek jest ciamą) ---> zdanie jest prawdziwe","nie można tego jednoznacznie stwierdzić","Wiemy tylko, że żadna ryfa nie jest ferą. Jeśli byłoby tak, że wszystkie fery są ryfami to wtedy każdy bynak byłby też ryfą i zdanie pod kreską byłoby fałszywe. Natomiast w przypadku gdy żadna fera nie byłaby ryfą, to żadny bynak nie byłby ryfą, zatem w szczególności niektóre bynaki nie byłyby ryfami = zdanie prawdziwe","","Mężczyzna","","19","ISIM","licencjackie","1","tak","",""
"114020911222","420006389","2022-04-30 14:10:06","2022-04-30 14:10:32","37.225.51.40","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114020910609","420006389","2022-04-30 14:08:07","2022-04-30 14:08:23","31.1.55.32","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114020899392","420006389","2022-04-30 13:32:41","2022-04-30 14:02:14","5.173.240.202","","","","","Zgadzam się","prawda","Gdyby pewien AS nie był CESEM, to jednocześnie byłby BASEM i nie byłby CESEM, co jest sprzeczne, ponieważ każdy BAS jest CESEM","Co najmniej niektóre PURY są AWAKAMI, a być może wszystkie PURY są AWAKAMI.","Niektóre wróble są ptakami.","Niektóre ssaki są drapieżnikami.","","Co najmniej niektóre GABRY nie są AWAKAMI, a być może żadna GABRA nie jest AWAKIEM.","Niektóre ptaki nie są jaszczurkami.","Niektóre zwierzęta lądowe nie są drapieżnikami.","","prawda","Skoro każdy topek jest łutkiem i każdy łutek jest glara, w szczególności każdy topek jest glarą, a więc niektóre topki są glarami, tzn. istnieje taki topek, który jest glarą","","","","","","","","","","","","","","","","","","","",""
"114020901089","420006389","2022-04-30 13:38:10","2022-04-30 13:38:25","83.30.205.40","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114020888949","420006389","2022-04-30 12:57:39","2022-04-30 13:05:03","37.30.21.50","","","","","Zgadzam się","prawda","Wynika to z przechodniosci.","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","Wszystkie topki są glarami","fałsz","Wszystkie Cekry nie są wedami","fałsz","Wszystkie są","","","","","","","","","","","","","","","",""
"114016140009","420006389","2022-04-23 18:23:38","2022-04-23 18:59:11","89.64.108.202","","","","","Zgadzam się","prawda","skoro każdy BAS jest CESEM, a każdy AS jest BASEM to każdy AS musi być CESEM","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","skoro każdy TOPEK jest ŁUTKIEM, a każde ŁUTKO JEST GLARĄ, to wszystkie TOPKI SĄ GLARAMI","prawda","Część WEDY nie może być CEKRĄ, ponieważ jest KRALEM. A żaden KRAL nie jest CEKRĄ. ","fałsz","Wszystkie FAFKI są MUGAMI, ponieważ każda FAFKA jest REWOREM, a każdy REWOR jest MUGĄ. Stąd nie ma FAFKI która nie jest MUGĄ.","fałsz","Każde RUTKO nie jest MATUKIEM, ponieważ każde RUTKO jest TALĄ, a każda TALA nie jest MATUKIEM.","prawda","Te FODKI które są KUSKAMI, będą CIAMĄ, ponieważ każdy KUSEK jest CIAMĄ i stąd jest to zdanie prawdziwe","fałsz","Każdy BYNAK jest FERĄ, a każda FERA nie będzie RYFĄ, stąd ŻADEN BYNAK nie jest RYFĄ.","Kobieta","","","23","lekarsko-dentystyczny","jednolite magisterskie","4","","nie",""
"114015998233","420006389","2022-04-23 07:48:15","2022-04-23 07:48:37","89.64.111.55","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114015421134","420006389","2022-04-22 09:58:06","2022-04-22 10:23:29","37.47.114.59","","","","","Zgadzam się","prawda","Skoro Bas jest asem i Bas jest cesem, to as musi być cesem.","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","Wszystkie topki są Glarami","fałsz","Żadna cekra nie będzie wedą ","fałsz","Wszystkie fafki są mugami","fałsz","Żadne Rutko nie będzie matukiem","prawda","Kuski = Ciamy","nie można tego jednoznacznie stwierdzić","Moe znamy korelacji bynaka i ryfy","","Mężczyzna","","24","Lekarski","Lekarskie","4","","nie",""
"114014999129","420006389","2022-04-21 18:18:25","2022-04-21 18:47:46","89.64.112.44","","","","","Zgadzam się","prawda","Skoro AS = zarówno BAS jak i CES to w takim razie BAS musi równać się CES","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","Jest to fałsz, ponieważ skoro każdy TOPEK jest ŁUTKIEM, a ŁUTKO jest GLARĄ to stąd wynika, że każdy TOPEK to też GLARA, a nie tylko niektóre.","fałsz","Skoro zawsze WEDA to to samo co KRAL oraz nigdy nie możemy powiedzieć, że KRAL to CEKRA, a tym samym, że KRAL to WEDA to z tego wynika, że nie niektóre CEKRY nie są WEDAMI, tylko wszystkie.","fałsz","Skoro mówimy, że FAFKA to też REWOR zawsze oraz, że REWOR jest MUGĄ zawsze, to wszystkie FAFKI są MUGAMI, a nie tylko niektóre.","fałsz","Skoro RUTKO jest też TALĄ zawsze, a TALA nigdy nie jest MATUKIEM, to każde RUTKO nie będzie też MATUKIEM, a nie tylko niektóre.","prawda","Skoro KUSEK to zawsze CIAMA to niektóre FODKI mogą należeć zarówno do KUSEK jak i do CIAM. ","fałsz","Skoro BYNAK to zawsze FERA, a FERĄ nigdy nie jest RYFA, to wszystkie BYNAKI nie są RYFAMI, a nie tylko niektóre.","Kobieta","","","23","lekarsko-dentystyczny","magisterskie","4","","nie","Bardzo interesujące badanie, jestem ciekawa wyników i czy wpisałam się w jakiś schemat, dziękuję za zaproszenie! :)"
"114011437629","420006389","2022-04-14 17:06:03","2022-04-14 18:16:26","46.205.211.58","","","","","Zgadzam się","prawda","Zacznijmy od zdania „Każdy BAS jest CESEM”. Narysujmy koło i umówmy się, że to koło przedstawia wszystkie CESY. Skoro każdy BAS jest CESEM, to we wnętrzu koła CESÓW narysujmy drugie koło - to koło BASÓW. Przejdźmy do drugiego zdania: „Każdy AS jest BASEM”. We wnętrzu koła BASÓW narysujmy zatem koło - to koło ASÓW. Teraz przyjrzyjmy się naszemu rysunkowi. Powinniśmy otrzymać koło CESÓW, w które wrysowane jest koło BASÓW, w które z kolei wrysowane jest koło ASÓW. Teraz można zauważyć, że koło ASÓW zawiera się nie tylko w kole BASÓW, ale znajduje się przecież i we wnętrzu koła CESÓW. Stąd każdy AS jest CESEM.","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","Przedstawmy pierwsze zdanie w formie rysunku. Narysujmy koło, które przedstawia zbiór wszystkich GLAR. Ponieważ każde ŁUTKO jest GLARĄ, narysujmy kolejne koło - tym razem przedstawiające zbiór wszystkich ŁUTEK i umieśćmy je wewnątrz koła GLAR. Teraz drugie zdanie. Ponieważ każdy TOPEK jest ŁUTKIEM, to koło przedstawiające zbiór TOPKÓW umieśmy wewnątrz koła ŁUTEK. Otrzymujemy rysunek, w którym: w koło GLAR wpisane jest koło ŁUTEK, a w koło ŁUTEK wpisane jest koło TOPKÓW. Spoglądając na rysunek, widzimy, że zbiór wszystkich TOPKÓW zawiera się całkowicie nie tylko w zbiorze ŁUTEK, ale i w zbiorze GLAR. Stąd zdanie NIEKTÓRE TOPKI są GLARAMI jest fałszywe, gdyż jak wynika z rysunku WSZYSTKIE TOPKI są GLARAMI.","nie można tego jednoznacznie stwierdzić","Przedstawiamy pierwsze zdanie w postaci rysunku. Rysujemy koło przedstawiające zbiór wszystkich KRALI. Ponieważ każda WEDA jest KRALEM, to koło przedstawiające zbiór wszystkich WED umieszczamy w środku koła KRALI. Teraz drugie zdanie. Mamy tutaj wiele przypadków do rozważenia. Bo jeśli żaden KRAL nie jest CEKRĄ, to koło ilustrujące zbiór CEKR można umieścić a) obok koła KRALI, b) wewnątrz koła KRALI, ale nie WED c) wewnątrz koła WED + w b) i c) koła mogą zawierać się całkowicie lub tylko częściowo w kołach KRALI czy WED. Stąd nie jesteśmy w stanie jednoznacznie stwierdzić czy zdanie „Niektóre CEKRY nie są WEDAMI” jest prawdziwe bo w przypadku a) byłoby fałszywe,  b) fałszywe, c) fałszywe, jeśli koło CEKR całkowicie zawierałoby się w kole WED lub prawdziwe, jeśli zawierałoby się tylko częściowo.","fałsz","Rysujemy tak jak we wszystkich poprzednich przykładach (czyli korzystając z kół jako ilustracji zbiorów FAFEK, REWORÓW oraz MUG) i otrzymujemy: koło MUG, w które wpisane jest koło REWORÓW, w które wpisane jest koło FAFEK. Widzimy, że z rysunku wynika, że WSZYSTKIE FAFKI są MUGAMI, zatem zdanie „niektóre FAFKI są MUGAMI” jest nieprawdziwe.","nie można tego jednoznacznie stwierdzić","Wrysowujemy koło RUTEK w koło TAL. Natomiast nie wiemy na pewno, gdzie umieścić koło MATUK. Możemy je umieścić a) obok koła TAL, b) we wnętrzu koła TAL, tak że koło MATUK obejmie koło RUTEK, c) we wnętrzu koła TAL, obok koła RUTEK, d) we wnętrzu koła RUTEK. Zawieranie się kół w sobie może być całkowite lub częściowe i tak nie da się jednoznacznie stwierdzić, czy zdanie „Niektóre RUTKA są MATUKAMI”, bo w a) to zdanie jest fałszywe, b)","nie można tego jednoznacznie stwierdzić","a","nie można tego jednoznacznie stwierdzić","a","","","","","","","","","",""
"114011224992","420006389","2022-04-14 07:43:29","2022-04-14 07:44:06","83.24.46.3","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114011070998","420006389","2022-04-13 23:48:40","2022-04-13 23:48:51","79.184.129.141","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114011070046","420006389","2022-04-13 23:46:28","2022-04-13 23:46:47","89.64.74.187","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114011064600","420006389","2022-04-13 23:34:06","2022-04-13 23:34:55","93.174.30.49","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114009420237","420006389","2022-04-11 13:09:47","2022-04-11 13:10:26","5.173.97.55","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114007067866","420006389","2022-04-06 14:18:48","2022-04-06 14:19:42","37.30.18.205","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114006615464","420006389","2022-04-05 21:35:32","2022-04-05 22:31:12","89.64.11.168","","","","","Zgadzam się","nie można tego jednoznacznie stwierdzić","Stwierdzenie jest fałszywe:  jeśli założymy, że AS to cyfra 1; BAS to ""liczba nieparzysta"" a CES to cyfra 3, to otrzymamy sprzeczność w stwierdzeniu pod kreską.  Stwierdzenie prawdziwe:  jeśli założymy że AS to element zbioru liczb naturalnych, BAS to element zbioru liczb całkowitych, a CES to element zbioru liczb rzeczywistych, to stwierdzenie pod kreską będzie zdaniem prawdziwym.   Więc nie można jednoznacznie stwierdzić czy zdanie jest prawdziwe czy fałszywe.","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","Jeśli każdy element zbioru TOPEK należy do zbioru ŁUTKO, a każdy element zbioru ŁUTKO nalezy do zbioru GLARA to każdy element zbioru TOPEK musi należeć do zbioru GLARA a nie tylko niektóre","fałsz","Jeśli każdy element zbioru WEDA należy do zbioru KRAL, ale żaden element zbioru KRAL nie należy do zbioru CEKRA to żaden element zbioru CEKRA nie może należeć do zbioru WEDA a nie tylko niektóre","fałsz","Jeśli każdy element zbioru FAFKA należy do zbioru REWOR a każdy element zbioru REWOR należy do zbioru MUGA to każdy element zbioru FAFKA należy do zbioru MUGA a nie tylko niektóre","fałsz","Jeśli każdy element zbioru RUTKO należy do zbioru TALA ale żaden element zbioru TALA nie należy do zbioru MATUK to żaden element zbioru RUTKA nie należy do zbioru MATUK a nie tylko niektóre","prawda","jeśli niektóre elementy zbioru FODKI należą do zbioru KUSEK, a każdy element zboru KUSEK należy do zbioru CIAMA to niektóre element zbioru FODKI należą do zbioru CIAMA","fałsz","jeśli każdy elemnent zbioru BYNAK należy do zbioru FERA, a żaden element ze zbioru RYFA nie nalezy do zbioru FERA to, żaden element ze zbioru BYNAK nie należy do zbioru RYFA a nie tylko niektóre","Kobieta","","","20","psychologia","jednolite magisterskie","2","","nie",""
"114006614701","420006389","2022-04-05 21:35:23","2022-04-05 21:35:58","31.0.88.81","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114001522811","420006389","2022-03-24 21:21:35","2022-03-29 22:55:18","85.221.132.12","","","","","Zgadzam się","nie można tego jednoznacznie stwierdzić",".","Co najwyżej niektóre PURY są AWAKAMI, a więc być może żadna PURA nie jest AWAKIEM.","Niektóre wróble są ptakami.","","","Co najwyżej niektóre GABRY nie są AWAKAMI, a więc być może wszystkie GABRY są AWAKAMI.","","","Niektóre zięby nie są ptakami.","nie można tego jednoznacznie stwierdzić",".","nie można tego jednoznacznie stwierdzić",".","nie można tego jednoznacznie stwierdzić",".","nie można tego jednoznacznie stwierdzić",".","nie można tego jednoznacznie stwierdzić",".","nie można tego jednoznacznie stwierdzić",".","","","","","","","","","",""
"114002110153","420006389","2022-03-26 13:51:40","2022-03-26 13:51:55","37.47.132.122","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114001532143","420006389","2022-03-24 21:45:20","2022-03-24 21:45:51","83.8.28.192","","","","","Zgadzam się","fałsz","[pi;","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114001496302","420006389","2022-03-24 20:22:06","2022-03-24 20:25:49","188.47.106.136","","","","","Zgadzam się","fałsz","h","Co najmniej niektóre PURY są AWAKAMI, a być może wszystkie PURY są AWAKAMI.","Niektóre wróble są ptakami.","","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","h","nie można tego jednoznacznie stwierdzić","j","fałsz","j","nie można tego jednoznacznie stwierdzić",",","prawda","fg","nie można tego jednoznacznie stwierdzić","mnv","","Mężczyzna","","34","","","","","nie",""
